Sebastian Vettel
Charles Leclerc
Romain Grosjean
Kevin Magnussen
Lando Norris
Carlos Sainz Jr
Lewis Hamilton
Valtteri Bottas
Sergio Perez
Lance Stroll
Pierre Gasly
Max Verstappen
Daniel Ricciardo
Nico Hulkenberg
Kimi Raikkonen
Antonio Giovinazzi
Alexander Albon
Daniil Kvyat
George Russell
Robert Kubica
